Timestamp,What worked in dashboard A (above)? What didn't?,What worked in dashboard B (above)? What didn't?,What worked in dashboard C (above)? What didn't?,What worked in dashboard D (above)? What didn't?,What worked in dashboard E (above)? What didn't?,What worked in dashboard F (above)? What didn't?,Rank which UI you liked the best [Dashboard A],Rank which UI you liked the best [Dashboard B],Rank which UI you liked the best [Dashboard C],Rank which UI you liked the best [Dashboard D],Rank which UI you liked the best [Dashboard E],Rank which UI you liked the best [Dashboard F],What colour theme worked best?,Which bar style do you prefer?,What is most important to you when completing weekly assignments or managing group work on a platform? (select up to 3),"What is important to you when you use platforms like MyLearningSpace, Google Classroom, etc? (optional) ",Is there anything else that you want to add? (optional) ,What academic year are you in?,What best describes your major?,"What elements worked in the dashboard(s), what didn't? (optional) ",Column 22
10/28/2025 14:16:34,,,,,,,1 (most liked),4,6 (least liked),2,3,5,"Darker purple theme (Dashboard A, D, E)","Sidebar (Dashboard A, B)",Clear deadlines and progress tracking,,,Year 2,"Business Administration double degree (WLU or WLU & UW)",Darker background with bright text complements each other better I think,
10/28/2025 14:20:44,,,,,,,1 (most liked),5,6 (least liked),3,2,4,"Darker purple theme (Dashboard A, D, E)","Sidebar (Dashboard A, B)","Clear deadlines and progress tracking, Having reminders or notifications, Staying organized week to week","Immediate and clear visibility of things to do, and having simplified menus that don't make you go in so many places to find specific items.",,Year 2,"Business Administration double degree (WLU or WLU & UW)","For ones like B,C and F, I felt like having the colour as a light beige for the column sections or the top menu blend too much into the white background and gets rid of the visual hierarchy needed to separate the menus and actual content, like how A has a strong purple separator to make it a lot easier to digest and understand quickly, also for work/productivity type applications I feel a column/side menu work best as it's just generally most common for educational dashboards and is most similar to other applications like Notion that users may already use.",
10/28/2025 14:24:32,,,,,,,4,5,1 (most liked),3,6 (least liked),2,"Pastel theme (Dashboard B, C, F)","Topbar (Dashboard C, D, E, F)","Clear deadlines and progress tracking, Communication with group members, Seeing who’s done their part",,,Year 3,"Business Administration double degree (WLU or WLU & UW)",I like having the tabs at the top (similar to MyLS). Having a visible progress tab for assessment is nice. ,
10/28/2025 14:25:29,,,,,,,4,3,1 (most liked),5,6 (least liked),2,"Darker purple theme (Dashboard A, D, E)","Topbar (Dashboard C, D, E, F)","Clear deadlines and progress tracking, Seeing who’s done their part, Receiving feedback or grades quickly",,,Year 3,"Any other major, other school",,
10/28/2025 14:28:53,,,,,,,3,6 (least liked),4,1 (most liked),2,5,"Darker purple theme (Dashboard A, D, E)","Topbar (Dashboard C, D, E, F)","Clear deadlines and progress tracking, Easy submission and file sharing, Staying organized week to week","How easy it is to check everything (announcements, usage of features in the application, organization of assignments, readings, external sources.)",I would change the shade of purple to look more like a royal purple rather than an eggplant purple.,Year 2,Other majors in Wilfrid Laurier University (including Economics),I particularly liked the colours seperating the side bar and the header in dashboard A and the more prominent use of purple. It looks very organized and easy to read. But l like the layout of dashboard D. Just too much yellow. ,
10/28/2025 14:29:00,,,,,,,1 (most liked),2,5,6 (least liked),3,4,"Darker purple theme (Dashboard A, D, E)","Sidebar (Dashboard A, B)","Seeing who’s done their part, Receiving feedback or grades quickly, Having reminders or notifications","No bugs, easy to find things",,Year 1,"Business Administration single degree (WLU)",Solid purple colour is nice,
10/28/2025 14:45:51,,,,,,,2,3,4,1 (most liked),5,6 (least liked),"Darker purple theme (Dashboard A, D, E)","Topbar (Dashboard C, D, E, F)","Clear deadlines and progress tracking, Easy submission and file sharing, Receiving feedback or grades quickly",,,Year 1,"Business Administration single degree (WLU)",,
10/28/2025 14:49:25,,,,,,,1 (most liked),5,3,2,4,6 (least liked),"Darker purple theme (Dashboard A, D, E)","Sidebar (Dashboard A, B)","Clear deadlines and progress tracking, Receiving feedback or grades quickly",MyLearningSpace,NA,Year 3,"Business Administration double degree (WLU or WLU & UW)",The colors and placement of the Dashboard A is the most familiar and on brand,
10/28/2025 14:55:23,,,,,,,3,4,5,2,1 (most liked),6 (least liked),"Darker purple theme (Dashboard A, D, E)","Topbar (Dashboard C, D, E, F)","Clear deadlines and progress tracking, Easy submission and file sharing, Seeing who’s done their part",,,Year 2,"Any other major, other school",,
10/28/2025 14:56:22,,,,,,,1 (most liked),2,6 (least liked),4,3,5,"Darker purple theme (Dashboard A, D, E)","Sidebar (Dashboard A, B)","Clear deadlines and progress tracking, Easy submission and file sharing, Staying organized week to week",,,Year 3,"Business Administration single degree (WLU)",,
10/28/2025 15:10:00,,,,,,,3,1 (most liked),4,5,6 (least liked),2,"Pastel theme (Dashboard B, C, F)","Sidebar (Dashboard A, B)","Clear deadlines and progress tracking, Receiving feedback or grades quickly, Having reminders or notifications",Being able to find course materials properly - profs should be given better templates to organize and name materials it’s so hard to find things (or maybe search) and having syllabus as a separate page you can navigate to would be awesome. Most important as well would be seeing deadlines but it’s usually up to how lazy the prof is in terms of adding dates. ,,Year 4,"Business Administration double degree (WLU or WLU & UW)",I like the side bar if it can be collapsible so I can have more screen space. The lighter yellow is better on the eyes,
10/28/2025 15:28:15,,,,,,,1 (most liked),5,6 (least liked),2,3,4,"Darker purple theme (Dashboard A, D, E)","Sidebar (Dashboard A, B)","Clear deadlines and progress tracking, Easy submission and file sharing, Communication with group members",,,Year 3,"Business Administration double degree (WLU or WLU & UW)",,
10/28/2025 15:34:54,,,,,,,1 (most liked),2,5,3,4,6 (least liked),"Darker purple theme (Dashboard A, D, E)","Sidebar (Dashboard A, B)","Clear deadlines and progress tracking, Easy submission and file sharing, Having reminders or notifications",Easy to navigate ,,Year 2,"Business Administration single degree (WLU)",,
10/28/2025 15:43:45,,,,,,,6 (least liked),5,4,1 (most liked),2,3,"Darker purple theme (Dashboard A, D, E)","Topbar (Dashboard C, D, E, F)","Clear deadlines and progress tracking, Easy submission and file sharing, Having reminders or notifications",,,Year 3,"Any other major, other school",,
10/28/2025 15:56:28,,,,,,,3,5,6 (least liked),1 (most liked),4,2,"Darker purple theme (Dashboard A, D, E)","Topbar (Dashboard C, D, E, F)","Clear deadlines and progress tracking, Communication with group members, Staying organized week to week",Easy to navigate ,,Year 3,"Business Administration single degree (WLU)",,
10/28/2025 16:59:58,,,,,,,2,6 (least liked),5,3,1 (most liked),4,"Darker purple theme (Dashboard A, D, E)","Topbar (Dashboard C, D, E, F)","Seeing who’s done their part, Receiving feedback or grades quickly, Having reminders or notifications",,,Year 4,"Business Administration single degree (WLU)",,
10/28/2025 19:36:34,,,,,,,1 (most liked),4,5,2,3,6 (least liked),"Darker purple theme (Dashboard A, D, E)","Sidebar (Dashboard A, B)","Clear deadlines and progress tracking, Easy submission and file sharing, Having reminders or notifications",,,Year 4,Other majors in Wilfrid Laurier University (including Economics),,
10/28/2025 19:46:08,,,,,,,2,3,4,5,1 (most liked),6 (least liked),"Darker purple theme (Dashboard A, D, E)","Sidebar (Dashboard A, B)","Clear deadlines and progress tracking, Receiving feedback or grades quickly, Staying organized week to week",,,Year 4,Other majors in Wilfrid Laurier University (including Economics),,
10/28/2025 20:22:09,,,,,,,3,4,5,2,1 (most liked),6 (least liked),"Darker purple theme (Dashboard A, D, E)","Topbar (Dashboard C, D, E, F)","Communication with group members, Seeing who’s done their part, Staying organized week to week",Nothing gets lost in translation or missed,,Year 1,"Business Administration single degree (WLU)",Diluted yellow colour was not appealing,
10/28/2025 23:06:33,,,,,,,2,3,5,1 (most liked),4,6 (least liked),"Darker purple theme (Dashboard A, D, E)","Topbar (Dashboard C, D, E, F)","Clear deadlines and progress tracking, Receiving feedback or grades quickly, Staying organized week to week","accessing features with least amount of clicks. clear sectioning/labels (a clear section of lessons, assignments, grades, etc)",,Year 4,Other majors in Wilfrid Laurier University (including Economics),I like the assignment progress section on the left,
10/29/2025 9:44:03,,,,,,,4,3,2,5,6 (least liked),1 (most liked),"Pastel theme (Dashboard B, C, F)","Topbar (Dashboard C, D, E, F)","Clear deadlines and progress tracking, Communication with group members, Having reminders or notifications",,,Year 2,"Business Administration single degree (WLU)",,
10/29/2025 9:48:20,,,,,,,1 (most liked),5,4,3,2,6 (least liked),"Darker purple theme (Dashboard A, D, E)","Sidebar (Dashboard A, B)","Clear deadlines and progress tracking, Easy submission and file sharing, Communication with group members",,,Year 1,"Business Administration single degree (WLU)",Darker colours made it easier to read. A and E  have bigger font also easier to read ,
10/29/2025 10:38:37,,,,,,,5,4,3,2,1 (most liked),6 (least liked),"Darker purple theme (Dashboard A, D, E)","Topbar (Dashboard C, D, E, F)","Clear deadlines and progress tracking, Easy submission and file sharing, Staying organized week to week",having clear deadlines and easy to use UI,,Year 4,Other majors in Wilfrid Laurier University (including Economics),,
10/29/2025 10:49:03,,,,,,,6 (least liked),5,3,2,1 (most liked),4,"Pastel theme (Dashboard B, C, F)","Sidebar (Dashboard A, B)","Clear deadlines and progress tracking, Having reminders or notifications, Staying organized week to week",,,Year 3,"Any other major, other school",,
10/29/2025 11:59:08,,,,,,,1 (most liked),3,6 (least liked),4,2,5,"Darker purple theme (Dashboard A, D, E)","Sidebar (Dashboard A, B)","Clear deadlines and progress tracking, Easy submission and file sharing, Having reminders or notifications",,,Year 1,"Business Administration single degree (WLU)",,
10/30/2025 17:22:09,,,,,,,4,6 (least liked),1 (most liked),3,2,5,"Pastel theme (Dashboard B, C, F)","Topbar (Dashboard C, D, E, F)","Clear deadlines and progress tracking, Communication with group members, Seeing who’s done their part",Myls,,Year 3,"Business Administration single degree (WLU)",,
10/31/2025 10:49:09,,,,,,,3,4,6 (least liked),2,1 (most liked),5,"Darker purple theme (Dashboard A, D, E)","Topbar (Dashboard C, D, E, F)","Clear deadlines and progress tracking, Seeing who’s done their part, Having reminders or notifications",organization,,Year 3,Other majors in Wilfrid Laurier University (including Economics),,
10/31/2025 11:00:57,,,,,,,1 (most liked),2,4,3,6 (least liked),5,"Darker purple theme (Dashboard A, D, E)","Topbar (Dashboard C, D, E, F)","Easy submission and file sharing, Communication with group members, Seeing who’s done their part",,,Year 2,"Business Administration double degree (WLU or WLU & UW)",,
